athlete_uid,playing_level,cmj_jump_height_cm,actual_bat_speed_mph,pred_bat_speed_mph,residual_mph
fd3d7a63-ef2c-43d5-96dd-1f5c1762b025,High School,38.47,52.7,63.12155925991982,-10.421559259919817
e2fbb235-2e9e-43e1-9f01-c07a09ef569c,College,23.45,61.1,53.56253695815629,7.537463041843715
b57dca79-dfa8-40d3-99b9-b3ab9edd12cd,High School,43.09,54.5,66.06181778416399,-11.561817784163992
7d871165-426e-4278-aabb-48c2b613d2dd,College,45.82,73.0,67.79924327576282,5.200756724237181
7f13a3ee-1114-47a0-97bd-15030a2c38c4,College,40.19,64.6,64.21620096158648,0.3837990384135139
81a7503e-70d2-4816-bc99-aaa562a224f5,Pro,42.53,67.5,65.70542281152834,1.7945771884716635
a7f5385e-417e-4ce8-9025-2292611fa318,Pro,37.24,71.0,62.33876315930935,8.661236840690648
f98a7879-4d3f-4de5-ab50-38efc5e131e6,Pro,45.37,67.3,67.51285445846631,-0.21285445846631035
7a1022d7-3af0-47f3-a4d4-d8b010a36521,College,36.06,64.5,61.58778803839851,2.9122119616014928
af558557-20d9-41ef-8394-7584daefa955,Pro,50.13,68.7,70.54221172586941,-1.8422117258694044
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,37.85,57.9,62.726979111644624,-4.826979111644626
f0196b10-6117-47a2-a258-56914393cdd7,Pro,41.99,69.0,65.36175623077253,3.638243769227472
b317d078-9624-4e86-a68d-e39d43ebd990,College,41.27,69.7,64.90353412309811,4.796465876901891
84013ce6-8721-42aa-b27f-e05bfd67fa20,Pro,50.43,69.0,70.73313760406708,-1.7331376040670818
7f13a3ee-1114-47a0-97bd-15030a2c38c4,College,38.69,64.0,63.26157157059811,0.7384284294018926
d2a636aa-6148-431b-bca8-a14322813a7f,High School,30.85,57.4,58.2720419536989,-0.8720419536989041
749913c7-ed31-4de9-92a9-ba22ad4f02e8,College,47.06,66.7,68.58840357231321,-1.8884035723132087
6fd1e40e-139b-4778-8b7f-805de73c4cd7,College,36.93,65.7,62.14147308517176,3.558526914828242
85bc7520-a253-4f12-b1e9-345a8a82bbae,College,38.4,59.7,63.077009888340356,-3.3770098883403534
7be14792-be47-4f6e-a605-c779d85cb0fe,Pro,51.22,71.0,71.23590908332095,-0.23590908332094784
81a7503e-70d2-4816-bc99-aaa562a224f5,Pro,38.76,71.6,63.30612094217757,8.293879057822423
eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,College,48.09,63.3,69.24391575412523,-5.9439157541252285
fb1c936a-98d4-498e-90e1-2d7dc6ca8aa5,College,40.76,57.1,64.57896013016206,-7.478960130162058
dbcbe7c4-c313-410a-ac5d-9f50947d29ff,College,45.63,68.2,67.6783235529043,0.5216764470957003
367fa660-b249-4e30-a569-af26bb2474d9,College,42.32,62.2,65.57177469678996,-3.371774696789956
25e49842-1c31-46b9-b74e-fcf1d1d2c83f,Pro,58.1,75.7,75.6144758899876,0.08552411001240046
74820c97-bef1-45ff-b74b-88cc8b44c28c,College,45.53,67.2,67.61468159350508,-0.4146815935050796
454a4b07-a725-47a9-a396-b9b8377755da,College,46.02,71.1,67.92652719456127,3.1734728054387205
7d871165-426e-4278-aabb-48c2b613d2dd,College,51.29,76.3,71.28045845490041,5.019541545099585
a07c720f-ef87-48d8-9076-b133b00f5c45,College,51.85,66.4,71.63685342753607,-5.236853427536062
e1e0fc0f-36f0-4c00-a85f-6230668843b9,Pro,48.69,68.8,69.62576751052057,-0.8257675105205777
51c16a6f-2089-486e-bddb-70b5afb4971d,High School,46.38,65.0,68.15563824839847,-3.155638248398475
c199859f-d7ec-4670-a7b5-0dadeebca314,Pro,37.2,66.8,62.31330637554967,4.486693624450325
9cbbc585-b4b9-45de-bae8-ef4aa1faa464,College,41.72,65.2,65.18992294039461,0.010077059605393401
bd171582-042c-4f40-9d40-87d7747e9eb0,College,56.09,74.9,74.33527250606319,0.5647274939368145
