athlete_uid,playing_level,cmj_jump_height_cm,actual_bat_speed_mph,pred_bat_speed_mph,residual_mph
fd3d7a63-ef2c-43d5-96dd-1f5c1762b025,High School,38.47,52.7,60.75057465796325,-8.050574657963246
b57dca79-dfa8-40d3-99b9-b3ab9edd12cd,High School,43.09,54.5,63.89235415847834,-9.39235415847834
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,37.85,57.9,60.32895056914954,-2.428950569149542
d2a636aa-6148-431b-bca8-a14322813a7f,High School,30.85,57.4,55.568678598672136,1.8313214013278625
51c16a6f-2089-486e-bddb-70b5afb4971d,High School,46.38,65.0,66.12968198460273,-1.1296819846027262
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,39.93,61.3,61.74343138323425,-0.44343138323425535
ec18ed95-eb8c-4a1e-b7e0-1310b418c15d,High School,36.46,66.3,59.383696563583314,6.916303436416683
9e647329-8263-4e43-ae3f-3c16e6afaf99,High School,28.73,56.2,54.1269962304704,2.073003769529606
1546b167-acac-4859-842a-293c011afbee,High School,28.27,62.1,53.81417835812474,8.285821641875259
d2a636aa-6148-431b-bca8-a14322813a7f,High School,31.88,58.5,56.269118617185235,2.230881382814765
7b6cd196-15e9-4d77-b758-5f8422f19e31,High School,42.11,65.3,63.225916082611505,2.074083917388492
cb97b53e-2d0d-4f7e-a299-f4e30f3cbbb1,High School,41.27,55.3,62.654683446154216,-7.354683446154219
6cd1a54c-df72-45e6-9e72-50a344eea254,High School,30.39,55.7,55.255860726326475,0.4441392736735281
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,40.14,61.8,61.88623954234858,-0.08623954234857933
3f2e4ffe-bee0-4f65-8cfe-18bdcebb698b,High School,30.8,64.4,55.534676656025866,8.86532334397414
98a3ebc4-c466-4780-a66f-e0d9205b3e65,High School,33.16,61.0,57.13956834892967,3.8604316510703285
81b2a80f-8edf-4bc7-92d4-e7d534fde7db,High School,47.46,64.3,66.86412394576209,-2.5641239457620912
02bd758b-d462-4a13-a2bb-e36a8baf4615,High School,40.01,58.9,61.79783449146828,-2.8978344914682808
8934548c-9fb0-4c85-8d9f-894533487d92,High School,42.84,64.1,63.722344445247,0.37765555475299095
2463165a-46c1-44cd-be27-0f886c404f46,High School,43.54,63.0,64.19837164229475,-1.1983716422947452
fe46ec33-2e07-4478-bf84-70d34844627e,High School,26.99,56.1,52.943728626380306,3.1562713736196955
4b6c5fb8-a899-41a3-a3e2-af066e04e14e,High School,30.25,57.0,55.16065528691692,1.8393447130830793
4de1cda6-90aa-48ea-8716-51ab8589febd,High School,41.18,56.9,62.59347994939093,-5.693479949390934
d27f623a-39a3-43e9-aec8-5af4998fd0f5,High School,48.87,71.0,67.82297872838683,3.177021271613171
08a63457-73f2-424d-aa05-9940fc850e2f,High School,41.3,62.2,62.67508461174197,-0.4750846117419698
510fa853-5b87-4f18-b0d0-5268b4eee1d3,High School,42.54,62.3,63.518332789369396,-1.2183327893693985
76013a40-c6ff-4a3e-936e-520cf89c5218,High School,46.02,62.5,65.8848679975496,-3.3848679975496054
c79a8908-2ef8-4a75-a304-91e2088dc99a,High School,36.19,54.5,59.20008607329346,-4.700086073293463
4d97aa83-aa97-4531-ba61-458b47352e3b,High School,33.07,58.2,57.078364852166395,1.121635147833608
26bd7f15-627d-4a4f-b8ce-9e3e72218fc5,High School,38.56,64.7,60.81177815472653,3.8882218452734705
a5be5c60-bd35-4749-9223-16307461145d,High School,38.03,58.8,60.4513575626761,-1.651357562676104
e74a7f69-4372-4559-b03d-3279cd7c6940,High School,41.9,68.5,63.08310792349718,5.416892076502819
a0fa354b-053b-44cf-b351-e0925f856a5a,High School,23.21,44.5,50.3731817623225,-5.873181762322503
e79dea6c-d978-46bb-b470-ba7c64efe642,High School,38.2,53.1,60.566964167673405,-7.466964167673403
8934548c-9fb0-4c85-8d9f-894533487d92,High School,44.24,65.0,64.67439883934249,0.3256011606575129
451c4a84-60b1-431b-892d-cdbe4243794a,High School,39.03,66.1,61.13139641560144,4.968603584398551
80ed2e94-01ab-42e2-bf24-897dddf240ee,High School,28.88,68.1,54.2290020584092,13.870997941590794
5a920021-0342-497e-b8fd-174c90d8936f,High School,34.25,58.4,57.8808106986183,0.5191893013817008
40c59397-0533-47f9-abdf-aa0b1bcd9fb3,High School,49.32,58.3,68.12899621220323,-9.828996212203236
33f500ee-2c98-482f-8ecc-f780e5d3c01f,High School,49.27,67.9,68.09499426955696,-0.19499426955695753
510fa853-5b87-4f18-b0d0-5268b4eee1d3,High School,40.77,63.8,62.31466401969154,1.4853359803084558
76013a40-c6ff-4a3e-936e-520cf89c5218,High School,47.85,65.4,67.12933909840297,-1.72933909840296
8ec56890-f5d1-4b19-98a3-c1b4afe97740,High School,29.05,50.2,54.34460866340651,-4.144608663406508
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,43.46,61.5,64.14396853406072,-2.6439685340607184
2672ff0d-d896-484b-adb1-a6fa7845c012,High School,29.02,52.1,54.32420749781875,-2.224207497818746
d241a71d-2e3b-462c-a0e2-defd6e97dae4,High School,38.85,65.0,61.00898942207488,3.991010577925117
26bd7f15-627d-4a4f-b8ce-9e3e72218fc5,High School,39.77,68.9,61.6346251667662,7.265374833233807
3f5740bc-c27c-4ce7-98ce-176549d426eb,High School,39.26,59.6,61.28780535177427,-1.6878053517742657
08a63457-73f2-424d-aa05-9940fc850e2f,High School,39.68,66.4,61.573421670002915,4.826578329997091
ba7936b1-678a-4c26-a19a-98ef3d40d216,High School,37.8,71.3,60.29494862650327,11.005051373496727
a0fa354b-053b-44cf-b351-e0925f856a5a,High School,24.08,49.4,50.964815564367555,-1.5648155643675565
66baa6e2-0f96-4fd7-8f35-1b7840064820,High School,31.93,56.3,56.3031205598315,-0.0031205598315011684
4d97aa83-aa97-4531-ba61-458b47352e3b,High School,33.53,62.8,57.39118272451205,5.408817275487948
c60a0ed6-f409-4bf9-ae60-f92383238e6c,High School,40.58,60.4,62.185456637635724,-1.7854566376357255
b57dca79-dfa8-40d3-99b9-b3ab9edd12cd,High School,47.07,59.2,66.59890879312121,-7.398908793121208
f35b1925-5394-43e7-bedd-57bfdc3dc8d6,High School,29.28,53.8,54.50101759957934,-0.7010175995793446
54c77616-6a19-40c9-bd31-f2e08d408a4e,High School,43.09,69.3,63.89235415847834,5.407645841521656
8934548c-9fb0-4c85-8d9f-894533487d92,High School,43.56,66.7,64.21197241935326,2.488027580646744
5e16e428-bf80-4c99-a41e-7103dd2e0d07,High School,34.2,61.9,57.846808755972035,4.053191244027964
8ec56890-f5d1-4b19-98a3-c1b4afe97740,High School,25.31,56.0,51.80126335346573,4.198736646534272
4866b002-7195-489b-bb2f-0b682154aed8,High School,31.31,50.8,55.88149647101778,-5.081496471017786
d2a636aa-6148-431b-bca8-a14322813a7f,High School,33.05,62.5,57.06476407510789,5.435235924892112
231fede0-9625-4919-b8bf-9cea48a79d5d,High School,34.98,61.8,58.377239061253796,3.422760938746201
2672ff0d-d896-484b-adb1-a6fa7845c012,High School,28.96,55.8,54.283405166643234,1.5165948333567627
d27f623a-39a3-43e9-aec8-5af4998fd0f5,High School,45.77,69.9,65.71485828431827,4.185141715681738
66baa6e2-0f96-4fd7-8f35-1b7840064820,High School,37.11,57.4,59.825721817984785,-2.425721817984787
a0fa354b-053b-44cf-b351-e0925f856a5a,High School,31.81,51.4,56.22151589748046,-4.8215158974804595
892c90c6-c255-45f7-8053-2d54fce4634a,High School,33.01,61.7,57.037562520990875,4.662437479009128
66baa6e2-0f96-4fd7-8f35-1b7840064820,High School,35.14,56.5,58.48604527772186,-1.986045277721857
826e276c-e8d5-4bf7-8f26-8d6f33068982,High School,44.12,56.7,64.59279417699145,-7.892794176991444
892c90c6-c255-45f7-8053-2d54fce4634a,High School,34.18,62.0,57.83320797891352,4.166792021086479
b11f1509-c586-4229-80b9-c7e38ec55e51,High School,32.84,60.9,56.921955915993564,3.9780440840064344
98a3ebc4-c466-4780-a66f-e0d9205b3e65,High School,36.39,65.2,59.33609384387854,5.863906156121466
65c0c056-de0a-422b-8e09-745316002c65,High School,43.75,63.4,64.34117980140907,-0.9411798014090706
798a57ed-d66c-4c21-8b6d-602f64e2d070,High School,44.27,66.7,64.69480000493024,2.005199995069759
2672ff0d-d896-484b-adb1-a6fa7845c012,High School,28.2,56.2,53.766575638419965,2.4334243615800375
c60a0ed6-f409-4bf9-ae60-f92383238e6c,High School,41.83,66.2,63.035505203792404,3.164494796207599
ff838832-e6c7-4c15-8750-15b42b1de4b4,High School,42.7,64.1,63.627139005837456,0.4728609941625379
26bd7f15-627d-4a4f-b8ce-9e3e72218fc5,High School,45.1,69.1,65.25923225285828,3.8407677471417117
a0fa354b-053b-44cf-b351-e0925f856a5a,High School,33.99,53.5,57.70400059685771,-4.2040005968577105
e24f29b6-b8e8-473d-8044-bf5779893afb,High School,45.7,63.8,65.66725556461348,-1.8672555646134867
ea31a04c-fc9a-4336-92f9-583561be37da,High School,31.1,53.6,55.738688311903466,-2.138688311903465
beb2623e-2867-4cef-8355-61c2b16d6575,High School,27.97,57.9,53.61016670224714,4.289833297752857
892c90c6-c255-45f7-8053-2d54fce4634a,High School,35.07,65.0,58.43844255801708,6.56155744198292
1cb2ec3a-6515-4231-a3c6-c66b7cb019df,High School,38.3,52.6,60.63496805296594,-8.034968052965937
a0fa354b-053b-44cf-b351-e0925f856a5a,High School,35.04,52.5,58.418041392429316,-5.918041392429316
5e16e428-bf80-4c99-a41e-7103dd2e0d07,High School,38.33,65.3,60.6553692185537,4.6446307814462955
c60a0ed6-f409-4bf9-ae60-f92383238e6c,High School,39.24,66.4,61.27420457471577,5.125795425284238
0bdccf12-9400-421b-90c9-47f6f6f6487e,High School,39.09,57.6,61.172198746776964,-3.5721987467769623
e49696e5-da2e-41ac-acfe-b294ba2a8893,High School,39.61,63.8,61.525818950298145,2.274181049701852
e321d6aa-6715-4233-8b56-fa0a2153d0f1,High School,36.99,59.3,59.744117155633745,-0.444117155633748
4c43a7b6-cc31-4dee-ae87-4ed78416f25c,High School,33.35,55.0,57.26877573098549,-2.268775730985489
1cb2ec3a-6515-4231-a3c6-c66b7cb019df,High School,36.16,56.1,59.179684907705706,-3.0796849077057047
c02af945-0781-48c8-b2b8-cd3d76336ae6,High School,39.2,59.6,61.247003020598754,-1.6470030205987527
66baa6e2-0f96-4fd7-8f35-1b7840064820,High School,35.13,55.0,58.4792448891926,-3.4792448891926
dc4276c1-5afc-440f-81dc-d512dd5bea20,High School,31.71,56.4,56.153512012187925,0.24648798781207404
8ec56890-f5d1-4b19-98a3-c1b4afe97740,High School,30.76,58.1,55.50747510190885,2.592524898091149
0e65584f-d8bd-49ec-bf0b-4f77520ca824,High School,43.38,61.2,64.08956542582669,-2.8895654258266887
0bdccf12-9400-421b-90c9-47f6f6f6487e,High School,42.65,57.7,63.593137063191186,-5.893137063191183
e321d6aa-6715-4233-8b56-fa0a2153d0f1,High School,35.78,61.8,58.92127014359407,2.8787298564059256
e49696e5-da2e-41ac-acfe-b294ba2a8893,High School,40.91,68.2,62.40986945910109,5.7901305408989145
9ec8f3f7-a1f9-44b7-b049-4ffc98a64ee4,High School,24.31,57.7,51.12122450054038,6.578775499459624
e5bc92af-9290-4511-bb94-964d15ed74f1,High School,17.86,33.1,46.73497389917191,-13.63497389917191
4c7b0b19-f20e-47c1-b3eb-e716079d0943,High School,14.89,36.6,44.71525850598364,-8.11525850598364
e79dea6c-d978-46bb-b470-ba7c64efe642,High School,42.76,59.8,63.66794133701298,-3.8679413370129794
1ed690f3-eb82-48d3-9511-6dc31195c1ee,High School,34.88,54.9,58.30923517596126,-3.409235175961264
126f9af7-cf9d-4040-b45e-439b96e33a36,High School,38.58,62.0,60.82537893178504,1.174621068214961
5aaa1be2-be82-48ec-8275-0dceef552020,High School,35.7,56.7,58.866867035360045,-2.166867035360042
dd0a2025-1f8b-4e41-a0fd-f824a9b3f584,High School,32.38,46.6,56.6091380436479,-10.009138043647901
be492d46-2740-4ad3-883a-aacb5ad59fd7,High School,33.18,60.0,57.153169125988185,2.8468308740118147
05575cbe-9a25-44ff-9a85-44c36f90b777,High School,32.87,59.3,56.94235708158132,2.3576429184186765
2bd5f19b-9243-405a-8b47-11658bce7657,High School,29.89,57.7,54.9158412998638,2.784158700136203
35abfc18-eda4-4b84-9213-414fb641d088,High School,45.4,67.7,65.46324390873588,2.2367560912641267
0e65584f-d8bd-49ec-bf0b-4f77520ca824,High School,42.01,61.2,63.157912197318964,-1.9579121973189615
8c6b4bde-d55a-4d11-b3f6-5986d3a90dee,High School,33.54,55.9,57.397983113041306,-1.4979831130413075
20b87cd5-55be-4b33-b243-f9f91d750b93,High School,25.9,63.3,52.20248627669167,11.097513723308325
f572a187-fb59-4873-ad4f-f18108b925d2,High School,44.4,66.7,64.78320505581054,1.916794944189462
06e4a1b1-5c02-4cd1-bdf7-4e9e2d6f5bed,High School,32.94,58.4,56.9899598012861,1.4100401987139008
59e769c3-3383-4d00-b927-1977be21042e,High School,23.62,49.1,50.651997692021894,-1.5519976920218923
690ec443-284e-4a6f-93e3-a333d35e13b9,High School,40.3,62.0,61.99504575881663,0.004954241183369845
0d81e7b4-7585-4fd5-9bd0-d7be2f551c44,High School,27.1,36.7,53.01853290020209,-16.318532900202086
a88f96c6-6e28-4c30-bd49-21993b5d3228,High School,18.86,37.1,47.415012752097255,-10.315012752097253
3cd8631a-9d15-4483-b913-1e616f82c8d7,High School,28.25,45.0,53.800577581066236,-8.800577581066236
7e52605b-e5bd-46c1-a201-2b64cee3916f,High School,17.58,42.9,46.54456302035282,-3.6445630203528196
1c4a0cd7-08a0-4e36-94d0-d2167ead0591,High School,22.13,43.6,49.63873980116313,-6.038739801163132
6261df51-a5ff-4521-9e6f-9588bfd95871,High School,20.65,54.8,48.63228229883362,6.167717701166374
d0bf3f1b-976c-47d6-8273-d7332c45f1b1,High School,24.41,47.9,51.18922838583292,-3.2892283858329208
45e73f1f-f7ea-428f-9630-f23d4d51962f,High School,24.2,64.6,51.046420226718595,13.553579773281399
de62ef34-b5d2-4ce1-8601-26ff24d5baa6,High School,26.11,44.3,52.345294435806,-8.045294435806
175d4f4c-e2d9-4eb2-b839-a15c73964dd6,High School,26.92,43.7,52.89612590667553,-9.196125906675526
c38dfc0e-3ec3-46ea-9056-3d1c1a9c54c1,High School,21.56,51.6,49.25111765499568,2.34888234500432
2f7d355c-c920-45a4-b373-d2e494551f04,High School,41.24,70.9,62.63428228056645,8.265717719433553
03b62246-3758-438c-a654-d8eee68b6553,High School,29.49,62.6,54.643825758693666,7.956174241306336
7c95082c-e335-4950-99f9-b4a668cd6b1e,High School,31.09,63.1,55.73188792337422,7.368112076625785
01e3dc73-034a-439c-a3e0-6a815197c02f,High School,27.49,40.3,53.283748052842974,-12.983748052842977
ab2591b4-45fb-4def-8811-fd4ec4dc018a,High School,36.43,59.9,59.36329539799554,0.5367046020044555
79900e57-168c-4f57-8da6-7fcc54654d98,High School,16.52,46.7,45.82372183625195,0.8762781637480543
ebd69af8-2c7b-4fba-967c-09d0c4b97b77,High School,30.97,60.7,55.65028326102317,5.049716738976834
28c968a5-e8de-4ad0-b712-421db00aa2fa,High School,22.15,56.0,49.65234057822164,6.34765942177836
e1a44c2d-2f7c-479a-8adb-3026c5bbccd4,High School,27.84,51.0,53.521761651366845,-2.5217616513668446
b8aa5dcc-a519-4e61-90b2-46524c7549e2,High School,25.57,56.1,51.978073455226316,4.121926544773686
ea84f8d8-6759-42ff-ab1a-1840c5668359,High School,34.98,56.2,58.377239061253796,-2.1772390612537933
