athlete_uid,playing_level,cmj_jump_height_cm,actual_bat_speed_mph,pred_bat_speed_mph,residual_mph
81a7503e-70d2-4816-bc99-aaa562a224f5,Pro,42.53,67.5,69.87282755151037,-2.372827551510369
a7f5385e-417e-4ce8-9025-2292611fa318,Pro,37.24,71.0,68.96306747383414,2.036932526165856
f98a7879-4d3f-4de5-ab50-38efc5e131e6,Pro,45.37,67.3,70.36124316977133,-3.0612431697713305
af558557-20d9-41ef-8394-7584daefa955,Pro,50.13,68.7,71.17985526234958,-2.4798552623495738
f0196b10-6117-47a2-a258-56914393cdd7,Pro,41.99,69.0,69.77995979310865,-0.7799597931086453
84013ce6-8721-42aa-b27f-e05bfd67fa20,Pro,50.43,69.0,71.23144846146164,-2.231448461461639
7be14792-be47-4f6e-a605-c779d85cb0fe,Pro,51.22,71.0,71.36731055245677,-0.3673105524567717
81a7503e-70d2-4816-bc99-aaa562a224f5,Pro,38.76,71.6,69.22447301600198,2.3755269839980144
25e49842-1c31-46b9-b74e-fcf1d1d2c83f,Pro,58.1,75.7,72.550514585427,3.1494854145730073
e1e0fc0f-36f0-4c00-a85f-6230668843b9,Pro,48.69,68.8,70.93220790661161,-2.1322079066116117
c199859f-d7ec-4670-a7b5-0dadeebca314,Pro,37.2,66.8,68.9561883806192,-2.1561883806191986
77807806-6004-4a2f-b829-f588050694f0,Pro,46.85,72.4,70.61576961872423,1.7842303812757763
3f6e8dc6-1535-47b3-b573-53f8b5b2aabb,Pro,57.03,70.2,72.36649884192727,-2.1664988419272646
84013ce6-8721-42aa-b27f-e05bfd67fa20,Pro,54.76,70.8,71.97611030197923,-1.1761103019792358
dda2a9bf-4ede-4077-b07e-928c440b82f9,Pro,41.33,73.1,69.66645475506208,3.4335452449379176
a761c1e8-96e0-4b61-9be3-5d72953d392b,Pro,43.22,75.5,69.99149190946814,5.508508090531862
464e02f3-7e17-49bc-b61c-ee44e20b0338,Pro,27.88,60.1,67.35335966153744,-7.253359661537438
7b89bd06-e271-4cc4-9206-26ebe8cafd8a,Pro,36.01,72.2,68.75153535747464,3.4484646425253658
81a7503e-70d2-4816-bc99-aaa562a224f5,Pro,45.11,73.0,70.3165290638742,2.6834709361258007
464e02f3-7e17-49bc-b61c-ee44e20b0338,Pro,32.52,63.3,68.15133447447084,-4.851334474470846
7be14792-be47-4f6e-a605-c779d85cb0fe,Pro,55.27,72.8,72.06381874046977,0.7361812595302268
e1e0fc0f-36f0-4c00-a85f-6230668843b9,Pro,49.73,69.2,71.11106433020014,-1.9110643302001336
6945a975-cdcf-4d49-b8e3-beb089c36fcb,Pro,52.2,71.8,71.53584833622287,0.2641516637771275
